trade_date,open,close,high,low,vol,pct_chg
20230810,4.96,5.3,5.47,4.94,1321975.78,6.6398
20230811,5.83,5.83,5.83,5.5,1919217.84,10.0
20230814,5.4,5.25,5.48,5.25,1515619.09,-9.9485
20230815,5.06,5.4,5.64,5.01,1504005.3,2.8571
20230816,5.3,5.87,5.94,5.27,2241120.51,8.7037
20230817,5.64,5.7,5.89,5.52,1595766.18,-2.8961
20230818,5.71,5.39,5.82,5.38,1163484.45,-5.4386
20230821,5.42,5.32,5.66,5.31,778240.61,-1.2987
20230822,5.26,5.58,5.69,5.23,1104001.59,4.8872
20230823,5.4,5.38,5.61,5.31,834729.74,-3.5842
20230824,5.37,5.37,5.59,5.13,830321.36,-0.1859
20230825,5.3,5.3,5.47,5.19,929752.67,-1.3035
20230828,5.65,5.59,5.79,5.42,1480726.41,5.4717
20230829,5.51,6.0,6.1,5.48,1524857.25,7.3345
20230830,5.8,5.81,5.92,5.68,1060375.73,-3.1667
20230831,5.84,5.23,5.84,5.23,1153349.34,-9.9828
20230901,5.26,4.96,5.35,4.86,978932.55,-5.1625
20230904,5.02,4.96,5.09,4.91,606755.62,0.0
20230905,4.96,4.72,4.96,4.68,610584.72,-4.8387
20230906,4.72,4.82,4.87,4.64,521307.22,2.1186
20230907,4.77,4.79,4.91,4.75,441776.12,-0.6224
20230908,4.75,4.7,4.77,4.65,301800.7,-1.8789
20230911,4.69,4.69,4.72,4.59,294057.08,-0.2128
20230912,4.69,4.71,4.74,4.65,245226.64,0.4264
20230913,4.71,4.73,4.78,4.68,243290.92,0.4246
20230914,4.72,4.65,4.74,4.63,209590.35,-1.6913
20230915,4.68,4.68,4.72,4.64,150780.06,0.6452
20230918,4.61,4.64,4.67,4.6,161882.03,-0.8547
20230919,4.64,4.59,4.65,4.59,141137.56,-1.0776
20230920,4.6,4.59,4.67,4.56,139886.75,0.0
20230921,4.59,4.6,4.69,4.59,195312.7,0.2179
20230922,4.58,4.68,4.69,4.56,236466.73,1.7391
20230925,4.68,4.52,4.68,4.5,237273.45,-3.4188
20230926,4.52,4.51,4.56,4.51,112071.65,-0.2212
20230927,4.51,4.52,4.55,4.49,124158.19,0.2217
20230928,4.56,4.54,4.56,4.51,112722.92,0.4425
20231009,4.54,4.39,4.54,4.37,211662.37,-3.304
20231010,4.4,4.38,4.45,4.37,116334.83,-0.2278
20231011,4.38,4.4,4.44,4.32,209090.0,0.4566
20231012,4.4,4.44,4.47,4.37,145126.76,0.9091
20231013,4.42,4.39,4.44,4.36,133530.59,-1.1261
20231016,4.39,4.32,4.44,4.27,287179.24,-1.5945
20231017,4.33,4.28,4.34,4.25,127560.01,-0.9259
20231018,4.3,4.21,4.31,4.21,147203.37,-1.6355
20231019,4.18,4.21,4.27,4.18,149103.0,0.0
20231020,4.21,4.25,4.32,4.17,159343.0,0.9501
20231023,4.22,4.16,4.24,4.13,154555.91,-2.1176
20231024,4.18,4.27,4.3,4.17,139868.74,2.6442
20231025,4.31,4.33,4.38,4.3,183472.33,1.4052
20231026,4.3,4.28,4.3,4.24,114340.09,-1.1547
20231027,4.3,4.32,4.34,4.26,128208.58,0.9346
20231030,4.31,4.32,4.38,4.28,171525.82,0.0
20231031,4.32,4.32,4.36,4.25,166555.43,0.0
20231101,4.33,4.36,4.38,4.28,193487.54,0.9259
20231102,4.35,4.38,4.42,4.32,274209.47,0.4587
20231103,4.37,4.41,4.42,4.36,200271.13,0.6849
20231106,4.41,4.5,4.52,4.39,227382.1,2.0408
20231107,4.5,4.48,4.54,4.46,155598.81,-0.4444
20231108,4.48,4.5,4.56,4.47,205039.72,0.4464
20231109,4.52,4.47,4.58,4.46,238750.69,-0.6667
20231110,4.47,4.47,4.5,4.41,169679.89,0.0
20231113,4.46,4.52,4.54,4.44,196604.38,1.1186
20231114,4.51,4.55,4.56,4.5,175397.33,0.6637
20231115,4.59,4.52,4.61,4.5,156388.45,-0.6593
20231116,4.5,4.52,4.53,4.46,159866.34,0.0
20231117,4.48,4.5,4.53,4.47,120560.0,-0.4425
20231120,4.52,4.51,4.56,4.49,137914.0,0.2222
20231121,4.71,4.96,4.96,4.71,477078.93,9.9778
20231122,5.46,5.46,5.46,5.46,217963.23,10.0806
20231123,5.3,5.05,5.43,5.02,1673280.06,-7.5092
20231124,5.07,4.88,5.16,4.83,1007004.82,-3.3663
20231127,4.76,4.68,4.82,4.63,663753.58,-4.0984
20231128,4.68,4.67,4.73,4.62,397380.47,-0.2137
20231129,4.68,4.59,4.68,4.56,356451.0,-1.7131
20231130,4.57,4.63,4.73,4.54,470346.45,0.8715
20231201,4.61,4.67,4.69,4.56,330263.34,0.8639
20231204,4.64,4.65,4.7,4.59,263558.67,-0.4283
20231205,4.65,4.61,4.74,4.6,287366.06,-0.8602
20231206,4.63,4.79,4.82,4.59,568351.36,3.9046
20231207,4.78,4.82,4.88,4.75,576741.78,0.6263
20231208,4.8,4.71,4.82,4.68,363958.0,-2.2822
20231211,4.69,4.75,4.76,4.61,274615.41,0.8493
20231212,4.76,4.85,4.9,4.71,408669.07,2.1053
20231213,4.78,4.79,4.85,4.75,266631.11,-1.2371
20231214,4.8,4.86,4.94,4.8,373663.1,1.4614
20231215,4.93,4.87,4.98,4.82,334215.68,0.2058
20231218,4.8,4.76,4.89,4.73,277737.76,-2.2587
20231219,4.74,4.71,4.79,4.65,219755.56,-1.0504
20231220,4.68,4.62,4.72,4.6,199722.77,-1.9108
20231221,4.6,4.62,4.67,4.58,222890.57,0.0
20231222,4.63,4.48,4.64,4.46,284524.68,-3.0303
20231225,4.45,4.43,4.46,4.39,159918.32,-1.1161
20231226,4.42,4.36,4.42,4.33,163062.63,-1.5801
20231227,4.46,4.55,4.78,4.43,487392.79,4.3578
20231228,4.55,4.55,4.58,4.4,322643.03,0.0
20231229,4.53,4.59,4.64,4.52,221838.98,0.8791
20240102,4.58,4.47,4.6,4.45,261947.19,-2.6144
20240103,4.46,4.51,4.55,4.44,177359.65,0.8949
20240104,4.5,4.45,4.52,4.43,172169.0,-1.3304
20240105,4.48,4.52,4.63,4.47,352649.73,1.573
20240108,4.66,4.44,4.74,4.42,392781.47,-1.7699
20240109,4.47,4.41,4.48,4.35,256904.78,-0.6757
20240110,4.4,4.37,4.44,4.35,167583.92,-0.907
20240111,4.39,4.52,4.6,4.38,340975.37,3.4325
20240112,4.5,4.46,4.54,4.46,170768.92,-1.3274
20240115,4.44,4.51,4.54,4.41,206283.69,1.1211
20240116,4.53,4.45,4.56,4.37,221889.18,-1.3304
20240117,4.45,4.45,4.54,4.42,277793.58,0.0
20240118,4.37,4.33,4.39,4.16,341803.57,-2.6966
20240119,4.37,4.4,4.51,4.3,304099.59,1.6166
20240122,4.32,4.18,4.52,4.14,364860.51,-5.0
20240123,4.18,4.23,4.26,4.08,216708.64,1.1962
20240124,4.24,4.48,4.55,4.24,555238.21,5.9102
20240125,4.47,4.65,4.65,4.43,514972.97,3.7946
20240126,4.6,4.71,4.87,4.58,584198.8,1.2903
20240129,4.8,4.73,5.18,4.71,1039464.04,0.4246
20240130,4.57,4.49,4.9,4.48,700850.66,-5.074
20240131,4.35,4.17,4.43,4.16,490279.14,-7.1269
20240201,4.13,3.93,4.19,3.75,554324.48,-5.7554
20240202,3.9,3.95,4.22,3.81,437322.51,0.5089
20240205,3.93,3.57,3.94,3.56,480583.64,-9.6203
20240206,3.52,3.72,3.76,3.29,347561.54,4.2017
20240207,3.72,3.78,3.86,3.68,269877.97,1.6129
20240208,3.9,4.05,4.1,3.87,371298.93,7.1429
20240219,4.03,3.99,4.04,3.94,292482.36,-1.4815
20240220,3.95,4.0,4.0,3.92,198428.88,0.2506
20240221,3.95,4.04,4.15,3.94,297763.28,1.0
20240222,4.03,4.03,4.07,3.96,245344.28,-0.2475
20240223,4.03,4.07,4.07,4.0,227137.89,0.9926
20240226,4.06,4.03,4.1,4.0,207192.99,-0.9828
20240227,4.03,4.13,4.14,4.01,240666.03,2.4814
20240228,4.14,3.99,4.22,3.98,377445.01,-3.3898
20240229,3.98,4.06,4.06,3.95,240219.39,1.7544
20240301,4.07,4.15,4.25,4.03,342344.5,2.2167
20240304,4.08,4.01,4.09,3.99,287724.78,-3.3735
20240305,3.98,3.96,3.98,3.88,243771.44,-1.2469
20240306,3.94,3.94,4.0,3.9,140678.26,-0.5051
20240307,3.96,3.98,4.01,3.92,180971.69,1.0152
20240308,3.98,3.96,3.98,3.91,130920.86,-0.5025
20240311,3.96,4.0,4.0,3.94,169207.21,1.0101
20240312,3.99,4.11,4.15,3.97,381827.3,2.75
20240313,4.1,4.0,4.1,3.98,243749.6,-2.6764
